model,precision,recall,coverage,novelty
top_popular,0.006720450860804447,0.00578408188722872,1.072197490200115e-05,3.9167764399609415
personal_als,0.037377441519339145,0.05293589234962094,0.002384567218205056,5.022688443928813
catboost,0.06730873156797654,0.08636340151506293,0.005419958312961581,5.5879382477191
